id;publication_type;authors;year;title;editors;journal_book_conf;volume;issue;pages;publisher;doi;isbn;citations;notes;peer_reviewed;exclude;study_samples;study_type;study_setting;smarthome;technology;scale_origin;scale_number;scale_number_new;reliability_alpha_studypaper;reliability_alpha_studypaper_new;reliability_composite_studypaper;reliability_other_studypaper;validity_information_studypaper;as_outcome_variable;cause_variables;cause_variables_new;cause_variables_theory;cause_variables_theory_other;cause_variables_theory_certainty;as_cause_variable;outcome_variables;outcome_variables_new;outcome_variables_theory;intervention;intervention_description;intervention_description_new;sample_size;sample_size_new;sample_age;sample_age_new;sample_sex;sample_sex_male;sample_sex_female;sample_sex_nonbinary;sample_sex_noresponse;sample_profession;sample_profession_new;sample_recruitment;sample_country
280;2;Addae et al.;2019;Factors Influencing Information Security Policy Compliance Behavior;NA;2019 International Conference on Cyber Security and Internet of Things (ICSIoT);NA;NA;43–47;Accra, Ghana;10.1109/ICSIoT47925.2019.00015;NA;2 (google scholar, 05.7.21);NA;1;1;NA;2;0;0;"not_specified; workplace_IT";1;26;78;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;compliance intention;compliance intention;intention;0;NA;NA;329;329;NA;NA;172 males, 157 females;52,28;47,72;NA;NA;information systems professionals of banks;IS professionals;2;Ghana
291;0;Jansen et al.;2018;Testing a model of precautionary online behaviour: The case of online banking;NA;Computers in Human Behavior;87;NA;371-383;NA;10.1016/j.chb.2018.05.010;NA;28 (google scholar, 9.6.21);NA;1;1;NA;2;0;0;"not_specified; online_banking";1;22;124;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;"precautionary online behavior; having a security and privacy problem on the Internet";"security behavior; information security problem";"behavior; other";0;NA;NA;1200;1200;M = 49.02 (SD = 14.53);49,0200000000000;"542 male; 658 female";45,17;54,83;NA;NA;NA;NA;0;Netherlands
301;2;Johnston et al.;2010;Reigning in the remote employee: Applying social learning theory to explain information security policy compliance attitudes;NA;Proceedings of the Sixteenth Americas Conference on Information Systems;NA;NA;2217–2230;Lima, Peru;NA;NA;12 (google scholar, 05.7.21);NA;0;1;NA;2;0;0;"not_specified; workplace_IT";1;27;79;NA;NA;NA;NA;NA;1;"situational support; verbal persuasion; vicarious experience; work arrangement (in-house vs. remote employee)";"support; verbal persuasion; vicarious experience; work arrangement";"persuasion; persuasion; vicarious experience; persuasion, vicarious experience";NA;1;1;compliance intention;compliance intention;intention;0;NA;NA;435;435;NA;NA;"remote employees: 61% male; 39% female; in-house employees: 48% male; 51% female; 1% NA";54,50;45,00;NA;1,00;NA;NA;NA;UK
302;0;Johnston et al.;2010;Fear appeals and information security behaviors: An empirical study;NA;Mis Quarterly;34;3;549–566;NA;NA;NA;1210 (google scholar, 12.4.21);NA;1;1;NA;0;0;0;computer;1;23;85A;NA;NA;NA;NA;NA;1;"perceived threat severity; perceived threat susceptibility";"threat severity; threat susceptibility";"mastery; mastery";NA;0;1;behavioral intent;behavioral intention;intention;0;NA;NA;275;275;73% between 18 and 29;23,5000000000000;61% male;61,00;39,00;NA;NA;university members;"university staff; students";2;USA
303;2;Jung et al.;2015;Perceived Risk and Self-Efficacy Regarding Internet Security in a Marginalized Community;NA;CHI 2015;NA;NA;1085–1090;Seoul, Korea;10.1145/2702613.2732912;NA;2 (google scholar, 12.4.21);NA;1;1;NA;3;1;0;computer;1;24;125;NA;NA;NA;NA;NA;1;"proficiency in security; have had a security and privacy problem on the Internet; having heard of someone who had a security and privacy problem on the Internet";"expertise; experience; hearsay";"mastery; mastery; vicarious experience";NA;0;1;"proficiency in security; security behavior; having heard of someone who had a security and privacy problem on the Internet; perceived risk; have had a security and privacy problem on the Internet";"expertise; security behavior; hearsay; perceived risk; information security problem";"other; behavior; other; other; other";0;NA;NA;44;44;NA;NA;"70% male; 23% female";70,00;23,00;NA;NA;NA;NA;1;USA
312;0;Karlsson et al.;2017;Measuring employees’ compliance – the importance of value pluralism;NA;Information & Computer Security;25;3;279-299;NA;10.1108/ICS-11-2016-0084;NA;11 (google scholar, 8.6.21);NA;1;1;NA;2;1;0;"not_specified; workplace_IT";1;IB:30 vs NB:;30;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;information security compliance;compliance behavior;behavior;0;NA;NA;140;140;NA;NA;NA;NA;NA;NA;NA;white collar employees;employees;0;Sweden
324;0;Kim et al.;2011;Third-party Privacy Certification as an Online Advertising Strategy: An Investigation of the Factors Affecting the Relationship between Third-party Certification and Initial Trust;NA;Journal of Interactive Marketing;25;3;145–158;NA;10.1016/j.intmar.2010.09.003;NA;96 (google scholar, 26.4.21);NA;1;1;NA;0;0;0;"not_specified; online_retail";1;25;126;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;"perceived privacy empowerment; trusting beliefs; trusting intentions";"privacy empowerment; trust beliefs; trust intention";"other; other; intention";0;NA;NA;223;223;18-24: 99%;21,0000000000000;"18.8% male; 81.2% female";18,80;81,20;NA;NA;students;students;1;USA
325;0;Kim et al.;2018;Factors influencing willingness to provide personal information for personalized recommendations;NA;Computers in Human Behavior;88;NA;143-152;Elsevier;10.1016/j.chb.2018.06.031;NA;25 (google scholar, 06.7.21);NA;1;1;NA;2;0;0;"not_specified; video_plattform";1;28;80;NA;NA;NA;NA;NA;1;"general privacy concern; innovativeness";"concerns; innovativeness";"other; other";"cognitive; cognitive";0;1;disclosure intention by types of information;disclosure intention;intention;0;NA;NA;525;525;"24.4% 10-19; 24.6% 20-29; 25.7% 30-39; 25.3% 40-49";29,6900000000000;49.5% male, 50.5% female;40,50;50,50;NA;NA;NA;NA;0;South Korea
327;0;Kim et al.;2014;An Integrative Behavioral Model of Information Security Policy Compliance;NA;The Scientific World JOURNAL;NA;NA;463870;NA;10.1155/2014/463870;NA;59 (google scholar, 12.4.21);NA;1;1;NA;2;NA;0;not_specified;1;26;127;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;compliance intention;compliance intention;intention;0;NA;NA;194;194;"20-29: 38.7%; 30-39: 31.4%; 40-49; 20.1%; 50-59; 7.2%; no response: 2.6%";34,1970000000000;"65.5% male; 34.5% female";65,50;34,50;NA;NA;employees;employees;2;NA
335;0;Kobsa et al.;2016;The effect of personalization provider characteristics on privacy attitudes and behaviors: An Elaboration Likelihood Model approach;NA;JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY, JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY;67;11;2587–2606;NA;10.1002/asi.23629;NA;48 (google scholar, 06.7.21);NA;1;1;NA;0;0;0;"smartphone; privacy_app";1;29;81;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;"perceived privacy protection; self-anticipated satisfaction with check-out;";"perceived protection; system satisfaction";"other; other";0;NA;NA;390;390;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;USA
337;0;Koloseni et al.;2018;SECURITY POLICY COMPLIANCE IN PUBLIC INSTITUTIONS: AN INTEGRATIVE APPROACH;NA;Journal of Applied Structural Equation Modeling;2;1;13-28;NA;10.47263/jasem.2(1)03;NA;0 ((google scholar, 06.7.21);NA;1;1;NA;2;1;0;"not_specified; computer; workplace_IT";1;30;82;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;continuance intention to comply with information security policies;compliance intention;intention;0;NA;NA;265;265;NA;NA;48.7% male, 51.3% female;48,70;51,30;NA;NA;employees of public organisation who use computers daily;employees of public organisation;2;Tanzania
338;0;Koloseni et al.;2019;Understanding Information Security Behaviours of Tanzanian Government Employees;NA;International Journal of Technology and Human Interaction;15;1;15–32;NA;10.4018/ijthi.2019010102;NA;2 (google scholar, 26.4.21);NA;1;1;NA;2;1;0;"not_specified; workplace_IT";1;27;128;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;intention to practice security behaviors;security intention;intention;0;NA;NA;415;415;"18-45: 70.6%; >=46 29.4%";37,8210000000000;"60% male; 40% female";60,00;40,00;NA;NA;government employees;government employees;2;Tanzania
339;0;Koohang et al.;2019;Building an awareness-centered information security policy compliance model;NA;Industrial Management & Data Systems;120;1;231–247;Emerald;10.1108/imds-07-2019-0412;NA;8 (google scholar, 06.7.21);NA;1;1;NA;2;0;0;"not_specified; workplace_IT";1;31;12H;NA;NA;NA;NA;NA;1;"information security issues awareness; information security policy awareness";"awareness; awareness";"persuasion; persuasion";NA;0;1;intention to comply;compliance intention;intention;0;NA;NA;285;285;"21-30: 75;31-40:  123; 41-50: 64; >50: 23";36,7280701754386;"144 male; 141 female";50,53;49,47;NA;NA;non-management employees;non-management employees;0;USA
342;1;Kropczynski et al.;2020;Towards Building Community Collective Efficacy for Managing Digital Privacy and Security within Older Adult Communities;NA;Proceedings of the ACM on Human-Computer Interaction (PACMHCI);4;CSCW3;255;NA;10.1145/3432954;NA;1 (google scholar, 9.6.21);NA;1;1;NA;2;0;0;"computer; workplace_IT";1;28;129;NA;NA;NA;NA;NA;1;proactive technology users with high knowledge (power usage);expertise;mastery;NA;0;1;"proactive technology users with high knowledge (power usage); community collective efficacy";"expertise; collective efficacy";"other; other";0;NA;NA;67;67;"residential (N=42; M = 68.452; SD 9.217; range: 39-80); social (N=25; M = 69.92; SD = 4.175; range: 62-78)";68,9997611940298;"residential (male 50%; female 50%); social (male 32%; female 68%)";43,28;56,72;NA;NA;pensioners;pensioners;2;USA
346;0;Kuo et al.;2018;Continuance compliance of privacy policy of electronic medical records: the roles of both motivation and habit;NA;BMC Medical Informatics and Decision Making;18;1;135;NA;10.1186/s12911-018-0722-7;NA;5 (google scholar, 12.4.21);NA;1;1;NA;2;1;0;"not_specified; workplace_IT";1;IB:31 vs NB:37;31;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;formation of habit to continue compliance with privacy policy;compliance habit;behavior;0;NA;NA;312;312;"20-29: 22.61%+6.10%; 30-39: 41.30%+50%; 40-49: 29.57%+37.8%; 46-65: 6.52%+6.1%";37,7581000000000;"43.27% male; 56.78% female";43,27;56,78;NA;NA;healthcare professionals;healthcare professionals;2;Taiwan
347;0;Kusumastuti et al.;2019;Characterizing conflicting user values for cyber authentication using a virtual public values forum;NA;Decision Analysis;16;3;157-171;NA;10.1287/deca.2018.0383;NA;1 (google scholar, 9.6.21);NA;1;1;NA;0;0;0;not_specified;1;29;130;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;scaling coefficient (rate of stolen passwords, cost, password expiration time, password complexity);password metrics;other;0;NA;NA;265;265;"range: 18-65; Median = 30";30,0000000000000;47% female;53,00;47,00;NA;NA;NA;NA;0;USA
348;0;Kusyanti et al.;2019;Protecting Facebook Password: Indonesian Users’ Motivation;NA;Procedia Computer Science;161;NA;1182–1190;NA;10.1016/j.procs.2019.11.231;NA;1 (google scholar, 26.4.21);NA;1;1;NA;2;0;0;"not_specified; facebook";1;30;131;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;security intention;security intention;intention;0;NA;NA;276;276;range: 18-24;21,0000000000000;NA;NA;NA;NA;NA;NA;NA;1;Indonesia
349;0;Kwak et al.;2020;Why do users not report spear phishing emails?;NA;Telematics and Informatics;48;NA;101343;NA;10.1016/j.tele.2020.101343;NA;11 (google scholar, 12.4.21);NA;1;1;NA;2;0;0;"mobile_device; computer";1;31;132;NA;NA;NA;NA;NA;1;cyber risk beliefs;perceived risk;other;cognitive;0;1;"expected negative outcome from reporting spear phishing emails; likelihood of reporting spear phishing emails; cyber security self-monitoring";"outcome expectation; reporting; self-monitoring";"other; behavior; other";0;NA;NA;386;386;NA;NA;"238 men; 148 female";61,66;38,34;NA;NA;students;students;2;USA
352;0;Amo;2016;Addressing Gender Gaps in Teens' Cybersecurity Engagement and Self-Efficacy;NA;IEEE Security & Privacy (IEEE Security & Privacy);14;1;72–75;NA;10.1109/MSP.2016.12;NA;13 (google scholar, 12.4.21);survey was administered 3 times (1 baseline before the camp, 1 after the workshops, 1 after the cyberdefense simulation): alpha 0.968, 0.964, 0.974;1;1;NA;1;1;0;not_specified;0;IB:32 vs NB:39;32;0.968;0.968;NA;NA;NA;1;"GenCyber program; gender";"training; gender";"mastery, vicarious experience; other";demographics;1;0;NA;NA;NA;1;"On the first four days of the camp, the students attended workshops in which they participated in hands-on cybersecurity-related activities.­ Activities included lessons on Internet research, Internet safety, virtualization, HTML, systems administration, networking, computer hygiene, and Web development and hosting. Many of the lessons, particularly those on HTML and Web design, required the participants to create a website for a customer-facing e-business. Website development was tied in throughout the workshops; for example, one of the lessons on systems administration included applications on the campers’ websites. On the final afternoon of the camp, the students participated in a cyberdefense simulation. They formed groups of two (with one group of three) and “merged” their companies into a corporation. The teams then worked collaboratively to complete various tasks related to their website, such as monitoring and checking questionable website traffic, performing administration and auditing tasks, detecting a live cyberattack, and recovering from the attack.";camp to learn cybersecurity-related activities for websites: workshop (build website) and simulation (cybersecurity tasks);34;34;"13: 41%; 14: 41%; 15: 9%; 16: 3%; 17: 6%";13,9200000000000;"71% male; 29% female";71,00;29,00;NA;NA;students;students;2;USA
355;0;Lai et al.;2012;Fighting identity theft: The coping perspective;NA;Decision Support Systems;52;2;353–363;NA;10.1016/j.dss.2011.09.002;NA;113 (google scholar, 12.4.21);NA;1;1;NA;2;NA;0;"not_specified; computer";1;IB:33 vs NB:40;33A;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;technological coping;coping;behavior;0;NA;NA;117;117;"18-24%: 35.8%; 25-34: 37.2%; 35-54: 27%";30,5070000000000;54.7% male, 45.3% female;54,70;45,30;NA;NA;students;students;2;USA
362;0;Lee et al.;2011;The Impact of Personalized Social Cues of Immediacy on Consumers' Information Disclosure: A Social Cognitive Approach;NA;Cyberpsychology Behavior and Social Networking;14;6;337–343;NA;10.1089/cyber.2010.0069;NA;19 (google scholar, 26.4.21);NA;1;1;NA;0;0;0;not_specified;1;IB:34 vs NB:23;34;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;"embarrassing outcome expectations; information abuse outcome expectations; information disclosure intention; customization outcome expectations; social trust outcome expectations";"outcome expectation; outcome expectation; disclosure intention; outcome expectation; outcome expectation";"other; other; intention; other; other";0;NA;NA;252;252;"41.2 (SD=13.1); median 42; range 18-66";41,2000000000000;"50% male; 50% female";50,00;50,00;NA;NA;NA;NA;0;USA
363;0;Lee et al.;2013;Moderating effect of privacy self-efficacy on location-based mobile marketing;NA;International Journal of Mobile Communications;11;4;330;NA;10.1504/ijmc.2013.055747;NA;24 (google scholar, 26.4.21);NA;1;1;NA;2;0;0;smartphone;1;32;47A;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;"approach intention; avoidance intention";"approach intention; avoidance intention";"intention; intention";0;NA;NA;1663;1663;"18-34: 37.4%; 35-44: 35.8%; 45-54: 26.7%";36,9480000000000;53.6% male;53,60;46,40;NA;NA;NA;NA;0;USA
367;0;Lee et al.;2016;Personalization–privacy paradox and consumer conflict with the use of location-based mobile commerce;NA;Computers in Human Behavior;63;NA;453-462;Elsevier;10.1016/j.chb.2016.05.056;NA;86 (google scholar, 06.7.21);NA;1;1;NA;2;0;0;not_specified;1;32;83;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;consumer typology based on response pattern to the personalization privacy paradox;consumer typology;other;0;NA;NA;517;517;"M =29.43; 20s: 50.7%; 30s: 49.3%";29,4300000000000;"48.7% male; 51.3% female";48,70;51,30;NA;NA;location-based mobile commerce users;NA;0;South Korea
371;0;Leering et al.;2020;More honour'd in the breach: predicting non-compliant behaviour through individual, situational and habitual factors;NA;Behaviour & Information Technology;NA;NA;1-16;NA;10.1080/0144929X.2020.1822444;NA;0 (google scholar, 8.6.21);NA;1;1;NA;2;0;0;"not_specified; workplace_IT";1;IB:35 vs NB:;35;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;continuation of (non-)compliant behaviour;compliance behavior;behavior;0;NA;NA;651;651;average 47;47,0000000000000;"55% male; 40% female; 1% neither; 4% NA";55,00;40,00;1,00;4,00;government employees;government employees;2;Netherlands
372;2;LeFebvre;2012;The Human Element in Cyber Security: A Study on Student Motivation to Act;NA;InfoSecCD'12;NA;NA;1–8;Kennesaw, GA, USA;10.1145/2390317.2390318;NA;13 (google scholar, 12.4.21);participant-observation: The field notes from each observation were coded for any evidence of the five PMT factors, demographic factors and motivational themes;0;1;A;3;1;0;"not_specified; computer";1;IB:36 vs NB:41;36;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;coping appraisal;coping;other;0;NA;NA;19+4+74;97;NA;NA;NA;NA;NA;NA;NA;students;students;2;USA
372;2;LeFebvre;2012;The Human Element in Cyber Security: A Study on Student Motivation to Act;NA;InfoSecCD'12;NA;NA;1–8;Kennesaw, GA, USA;10.1145/2390317.2390318;NA;13 (google scholar, 12.4.21);semi-structured interviews: the transcripts of the interviews were coded for the five PMT factors, any demographic factors noted, and any other motivational themes that arose;0;1;B;3;1;0;"not_specified; computer; social_network";1;IB:37 vs NB:42;37;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;coping appraisal;coping;other;0;NA;NA;4;4;NA;NA;NA;NA;NA;NA;NA;university instructors;university staff;2;USA
372;2;LeFebvre;2012;The Human Element in Cyber Security: A Study on Student Motivation to Act;NA;InfoSecCD'12;NA;NA;1–8;Kennesaw, GA, USA;10.1145/2390317.2390318;NA;13 (google scholar, 12.4.21);survey;0;1;C;2;0;0;"not_specified; computer; social_network";1;IB:38 vs NB:43;38;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;coping appraisal;coping;other;0;NA;NA;119;119;>=30: 16%;24,0000000000000;61% female;39,00;61,00;NA;NA;students;students;2;USA
376;2;Li et al.;2014;Does explicit information security policy affect employees' cyber security behavior? A pilot study;NA;2014 Second International Conference on Enterprise Systems;NA;NA;169–173;Shanghai, China;10.1109/ES.2014.66;NA;17 (google scholar, 26.4.21);NA;0;1;NA;2;NA;0;"not_specified; workplace_IT";1;33;133;NA;NA;NA;NA;NA;1;existence of explicit cybersecurity policy;information security policy;persuasion;NA;0;0;NA;NA;NA;0;NA;NA;197;197;"<18: 40.61%; 18-20: 52.28%; 21-30: 3.55%; 31-40: 2.54%; 41-50: 1.02%";18,7018500000000;"31.47%male; 68.53% female";31,47;68,53;NA;NA;NA;NA;1;USA
378;0;Lian;2020;Understanding cloud-based BYOD information security protection behaviour in smart business: in perspective of perceived value;NA;Enterprise Information Systems;NA;NA;1–22;NA;10.1080/17517575.2020.1791966;NA;0 (google scholar, 12.4.21);NA;1;1;NA;2;0;0;"mobile_device; computer";1;34;134;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;"perceived value; bring your own device information security protect intention";"perceived value; protection intention";"other; intention";0;NA;NA;283;283;"< 20: 2.5%; 20-25: 27.6%; 26-30: 20.5%; 31-35: 24.7%; 36-40: 9.5%, 41-45: 3.9%<18: 40.61%; 18-20: 52.28%; 21-30: 3.55%; 31-40: 2.54%; 41-50: 1.02%;  46-50: 0.7%; 51-55: 1.1%; 56-60: 0%; 61-65: 9.5%";32,9050000000000;64% male, 36% female;64,00;36,00;NA;NA;employees;employees;0;Taiwan
381;0;Lin;2016;Educating Students’ Privacy Decision Making through Information Ethics Curriculum;NA;Creative Education;7;1;171–179;NA;10.4236/ce.2016.71017;NA;3 (google scholar, 12.4.21);NA;1;1;NA;1;1;0;not_specified;1;35;135;NA;NA;NA;NA;NA;1;information ethics course;training;mastery, vicarious experience, persuasion;NA;0;1;privacy intention;privacy intention;intention;0;NA;NA;111;111;range: 18-25;21,5000000000000;"58% male; 42% female";58,00;42,00;NA;NA;students;students;2;Taiwan
384;0;Liu et al.;2020;Motivating information security policy compliance: The critical role of supervisor-subordinate guanxi and organizational commitment;NA;International Journal of Information Management;54;NA;102152;NA;10.1016/j.ijinfomgt.2020.102152;NA;8 (google scholar, 26.4.21);NA;1;1;NA;2;1;0;"computer; workplace_IT";1;36;12I;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;compliance behavior;compliance behavior;behavior;0;NA;NA;235;235;20-39: 52.7%;29,5000000000000;70.6% male;70,60;29,40;NA;NA;government employees/students;government employees;2;China
400;0;Ma et al.;2015;A survey-based study of factors that motivate nurses to protect the privacy of electronic medical records;NA;BMC Medical Informatics and Decision Making;16;1;13-23;NA;10.1186/s12911-016-0254-y;NA;28 (google scholar, 12.4.21);NA;1;1;NA;2;1;0;"not_specified; workplace_IT";1;37;136;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;perceived behavioral control;behavioral control;control;0;NA;NA;302;302;"18-29: 19.2%; 30-49: 74.8%; 50-64: 6%";33,6380000000000;"2% male; 98% female";2,00;98,00;NA;NA;nurses;healthcare professionals;2;Taiwan
405;0;Mamonov et al.;2016;The impact of exposure to news about electronic government surveillance on concerns about government intrusion, privacy self-efficacy, and privacy protective behavior;NA;Journal of Information Privacy and Security;12;2;1–12;NA;10.1080/15536548.2016.1163026;NA;7 (google scholar, 26.4.21);NA;1;1;NA;0;0;0;"not_specified; online_news";1;IB:39 vs NB:26;39;NA;NA;NA;NA;NA;1;"repeated exposure to government surveillance news (mental resources); age; gender; education; privacy concern";"mental resources; age; gender; education; concerns";"other; other; other; other; other";"cognitive; demographics; demographics; demographics; cognitive";0;0;NA;NA;NA;1;"differentiation of control group and treatment group; 
The control group was then exposed to four general government-related news stories. 
The treatment group was exposed to four news stories related specifically to government surveillance programs.";exposure to news: four government surveillance news vs. four general government-related news;442;442;34.9 (SD=12.9);34,9000000000000;60.2% male;60,20;39,80;NA;NA;NA;NA;0;USA
408;5;Manzano;2012;The cybercitizen dimension: A quantitative study using a threat avoidance perspective;NA;Doctor of Philosophy;NA;NA;NA;ProQuest LLC;NA;978-1-267-44129-4;3 (google scholar, 12.4.21);experimental group;2;1;A;2;1;0;computer;1;38;137;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;avoidance motivation;avoidance motivation;motivation;0;NA;NA;49;49;"21-25: 6.1%; 26-30: 10.2%; 31-35: 18.4%; 36-40: 10.2%; 41-45: 2%; 46-50: 18.4%; 51-55: 14.3%; 56-60: 18.4%; 61-65: 2%";43,4100000000000;"male 41%; female 59%";41,00;59,00;NA;NA;employees of beverage distribution company;employees of beverage distribution company;2;USA
412;0;Masrek et al.;2017;Modelling smartphone security behaviour of university students;NA;Turkish Online Journal of Educational Technology;NA;November Special Issue;537–545;NA;NA;NA;0 (google scholar, 26.4.21);NA;1;1;NA;2;1;0;smartphone;1;39;138;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;smartphone security behavior;security behavior;behavior;0;NA;NA;346;346;"<20: 16.5%; 21-23: 50%; 24-26: 25.7%; >27: 7.8%";23,9530000000000;"male 26.3%; female 73.7%";26,30;73,70;NA;NA;students;students;2;Malaysia
418;2;McGill et al.;2021;Piloting the Air Force JROTC Cyber Academy for High School Students;NA;Proceedings of the 52nd ACM Technical Symposium on Computer Science Education (SICGSE '21);NA;NA;597–603;Virtual Event;10.1145/3408877.3432471;NA;0 (google scholar, 14.7.21);participants and sample size diverge due to datasharing consent;0;1;NA;1;0;0;"not_specified; computer";0;33;84;"0.89 to 0.94 for pre-test; 0.91 to 0.97 for post-test";0.928;NA;NA;NA;1;gender;gender;other;demographics;0;0;NA;NA;NA;1;"8 week cyber academy teaching cybersecurity skills and career awareness (3-5 hours online course daily);  pre- and post measure of self-efficacy
modules targeted to develop content knowledge in computational thinking, computer programming, and cybersecurity knowledge, skills, and abilities; Increase awareness of cybersecurity and CS educational and vocational pathways; Increase interest in taking CS and cybersecurity courses at school; 
course modules: introduction to cybersecurity & cybercrime; cryptography & industry awareness; networking & server attacks; wireless network security; authentication, account and access management; vulnerability assessment and ehtical hacking; secure system design; database principles;  additional discussions with 16 speakers from industry and government; 
weekly workshop tasks/competitive activities: simulation of the installation of malicious software & incident reporting (Cadets receive a phishing email, supposedly signed by the instructor, indicating the need to view a webpage for updated exercise information that contains a simulated virus string); simulation of a network denial service attack (An increased amount of network traffic is generated on the network that results in reduced performance for users); developping a product analysis report (Cadets made product selection recommendations in light of known threats and vulnerabilities, using CVEdetails.com, a free security vulnerability website. Each team analyzes vulnerabilities of three products and present their findings and recommendations);  developping an internet of things challenge using tinkercard (As an Arduino team project, cadets create a stoplight/intersection system); developping a security plan for a physical location (Teams develop a plan for the physical security of a student-run data center.)";course to teach cybersecurity skills and career awareness: knowledge, skills, abilities, awareness, interest, simulations, reports, challenges;19;19;NA;NA;"10 male; 9 female";52,63;47,37;NA;NA;high school cadets;students;2;USA
419;0;McGill et al.;2017;Old risks, new challenges: exploring differences in security between home computer and mobile device use;NA;Behaviour and Information Technology;36;11;1-14.;Taylor & Francis;10.1080/0144929x.2017.1352028;NA;42 (google scholar, 14.7.21);sample duplicate of paper ID 607 (uses same (sub-)sample);1;1;NA;2;0;0;"mobile_device; computer";1;34;71A;NA;NA;NA;NA;NA;1;device type (mobile vs. home computer);device type;mastery;NA;1;0;NA;NA;NA;0;NA;NA;629;629;"Home device (322): 2.5% 18-24; 8.2% 25-34; 12.3% 35-44; 19.8% 45-54; 33.0% 55-64; 24.3% >=65
Mobile device (307): 3.0% 18-24; 7.9% 25-34; 15.4% 35-44; 19.7% 45-54; 33.1% 55-64; 21.0% >=65";53,1643934817170;"37.5% male; 62.5% female";37,50;62,50;NA;NA;NA;NA;0;USA
429;5;Mitchell;2020;Cyber security home: The effect of home user perceptions of personal security performance on household IoT security intentions;NA;Doctor of Philosophy in Information Science and Technology;NA;NA;NA;ProQuest LLC;NA;979-8662426054;0 (google scholar, 26.4.21);NA;2;1;NA;2;0;1;"not_specified; smarthome";1;IB:40 vs NB:28;40;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;"security intention existing security software usage; security intention existing network protection measures; security intention existing internet of things protection measures; security intention future security changes; security intention future internet of things protection changes";"security intention; security intention; security intention; security intention; security intention";"intention; intention; intention; intention; intention";0;NA;NA;569;569;"18-24: 3.87%; 25-34: 27.07%; 35-44: 38.31%; 45-54: 15.11%; 55-64: 12.13%; 65-74: 3.16%; 75-84: 0.35%";41,1020500000000;"56.59% male; 42% female; 0.7% non-binary; 0.7% NA";56,59;42,00;0,70;0,70;NA;NA;1;USA
430;0;Mohamed et al.;2012;Information privacy concerns, antecedents and privacy measure use in social networking sites: Evidence from Malaysia;NA;Computers in Human Behavior;28;6;2366–2375;NA;10.1016/j.chb.2012.07.008;NA;258 (google scholar, 26.4.21);NA;1;1;NA;2;1;0;"not_specified; social_network";1;40;89A;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;information privacy concern;concerns;other;0;NA;NA;340;340;NA;NA;"male 41.2%; female 58.8%";41,20;58,80;NA;NA;students;students;2;Malaysia
433;2;Mousavizadeh et al.;2015;A study of the effect of privacy assurance mechanisms on self-disclosure in social networking sites from the view of protection motivation theory;NA;36. International Conference on Information Systems;NA;NA;NA;Fort Worth, TX, USA;NA;NA;15 (google scholar, 9.6.21);NA;0;1;NA;2;0;0;"not_specified; social_network";1;41;139;NA;NA;NA;NA;NA;1;privacy customization control;control salience;persuasion;NA;0;1;privacy concern;concerns;other;0;NA;NA;241;241;18-25: 80.1%;21,5000000000000;"male 49.8%; female 50.2%";49,80;50,20;NA;NA;students;students;2;USA
